Q= 1.85901e-16, q=1.80459e-16, err=2.72069e-18, tol=2.96923e-20, nrec=106
Q= 1.31452e-16, q=1.27604e-16, err=1.92382e-18, tol=2.09956e-20, nrec=107
Q= 9.29503e-17, q=9.02296e-17, err=1.36035e-18, tol=1.48461e-20, nrec=108
Q= 6.57258e-17, q=6.3802e-17, err=9.61909e-19, tol=1.04978e-20, nrec=109
Q= 4.64752e-17, q=4.51148e-17, err=6.80173e-19, tol=7.42307e-21, nrec=110
Q= 3.28629e-17, q=3.1901e-17, err=4.80955e-19, tol=5.24891e-21, nrec=111
Q= 2.32376e-17, q=2.25574e-17, err=3.40086e-19, tol=3.71154e-21, nrec=112
Q= 1.64315e-17, q=1.59505e-17, err=2.40477e-19, tol=2.62445e-21, nrec=113
Q= 1.16188e-17, q=1.12787e-17, err=1.70043e-19, tol=1.85577e-21, nrec=114
Q= 8.21573e-18, q=7.97525e-18, err=1.20239e-19, tol=1.31223e-21, nrec=115
Q= 5.8094e-18, q=5.63935e-18, err=8.50216e-20, tol=9.27884e-22, nrec=116
Q= 4.10786e-18, q=3.98762e-18, err=6.01193e-20, tol=6.56113e-22, nrec=117
Q= 2.9047e-18, q=2.81968e-18, err=4.25108e-20, tol=4.63942e-22, nrec=118
Q= 2.05393e-18, q=1.99381e-18, err=3.00597e-20, tol=3.28057e-22, nrec=119
Q= 1.45235e-18, q=1.40984e-18, err=2.12554e-20, tol=2.31971e-22, nrec=120
Q= 1.02697e-18, q=9.96906e-19, err=1.50298e-20, tol=1.64028e-22, nrec=121
Q= 7.26174e-19, q=7.04919e-19, err=1.06277e-20, tol=1.15986e-22, nrec=122
Q= 5.13483e-19, q=4.98453e-19, err=7.51492e-21, tol=8.20142e-23, nrec=123
Q= 3.63087e-19, q=3.5246e-19, err=5.31385e-21, tol=5.79928e-23, nrec=124
Q= 2.56741e-19, q=2.49227e-19, err=3.75746e-21, tol=4.10071e-23, nrec=125
Q= 1.81544e-19, q=1.7623e-19, err=2.65692e-21, tol=2.89964e-23, nrec=126
Q= 1.28371e-19, q=1.24613e-19, err=1.87873e-21, tol=2.05035e-23, nrec=127
Q= 9.07718e-20, q=8.81149e-20, err=1.32846e-21, tol=1.44982e-23, nrec=128
Q= 6.41854e-20, q=6.23066e-20, err=9.39365e-22, tol=1.02518e-23, nrec=129
Q= 4.53859e-20, q=4.40574e-20, err=6.64231e-22, tol=7.2491e-24, nrec=130
Q= 3.20927e-20, q=3.11533e-20, err=4.69682e-22, tol=5.12588e-24, nrec=131
Q= 2.2693e-20, q=2.20287e-20, err=3.32116e-22, tol=3.62455e-24, nrec=132
Q= 1.60463e-20, q=1.55767e-20, err=2.34841e-22, tol=2.56294e-24, nrec=133
Q= 1.13465e-20, q=1.10144e-20, err=1.66058e-22, tol=1.81227e-24, nrec=134
Q= 8.02317e-21, q=7.78833e-21, err=1.17421e-22, tol=1.28147e-24, nrec=135
Q= 5.67324e-21, q=5.50718e-21, err=8.30289e-23, tol=9.06137e-25, nrec=136
